Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Daily_Return,SMA_20,SMA_50,Rolling_Volatility,Drawdown,Risk_Category
2024-07-04,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1040.29,1071.83,1038.58,1041.98,1860736,-0.012519,1013.92,883.14,0.405385,-0.034296,High
2024-07-05,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1040.91,1102.44,1040.74,1059.29,1859295,0.016605,1019.46,889.2,0.40566,-0.01826,High
2024-07-08,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1109.57,1121.59,1105.18,1105.41,1860078,0.043541,1025.62,896.37,0.414259,0.0,High
2024-07-09,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1086.78,1099.59,1086.38,1093.16,1855267,-0.01108,1032.54,903.17,0.39993,-0.01108,High
2024-07-10,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1097.09,1114.61,1078.25,1102.94,1857091,0.008942,1039.48,909.95,0.399856,-0.002237,High
2024-07-11,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1100.86,1122.44,1091.43,1093.36,1858788,-0.00868,1045.13,916.97,0.401869,-0.010897,High
2024-07-12,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1113.37,1123.73,1109.6,1114.73,1858443,0.019546,1050.39,924.64,0.395352,0.0,High
2024-07-15,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1108.6,1115.81,1096.07,1105.07,1857266,-0.008666,1055.31,932.21,0.39748,-0.008666,High
2024-07-16,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1127.83,1131.83,1122.52,1130.47,1856319,0.022978,1061.17,940.23,0.402596,0.0,High
2024-07-17,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1060.58,1075.12,1033.59,1065.64,1856152,-0.057341,1063.71,946.46,0.460874,-0.057341,High
2024-07-18,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1091.03,1099.19,1070.26,1086.18,1857059,0.019267,1066.68,953.3,0.46358,-0.039179,High
2024-07-19,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1084.48,1102.19,1076.96,1083.55,1857140,-0.002417,1069.98,959.51,0.461851,-0.041501,High
2024-07-22,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1102.09,1111.64,1094.6,1100.91,1857725,0.016023,1073.13,965.85,0.46006,-0.026143,High
2024-07-23,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1098.5,1101.85,1079.53,1101.78,1856487,0.000787,1075.58,972.76,0.458379,-0.025376,High
2024-07-24,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1070.95,1082.48,1067.95,1071.83,1857747,-0.027182,1078.11,978.91,0.456043,-0.051868,High
2024-07-25,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1074.52,1101.77,1069.22,1077.74,1858756,0.005516,1082.12,984.6,0.445553,-0.046638,High
2024-07-26,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1103.63,1151.74,1092.26,1099.45,1856715,0.020145,1087.21,990.75,0.448752,-0.027432,High
2024-07-29,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1107.09,1110.65,1096.85,1106.92,1861265,0.006787,1088.61,997.28,0.34718,-0.020832,High
2024-07-30,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1073.16,1082.0,1066.44,1069.83,1856770,-0.033506,1088.27,1003.24,0.368724,-0.053639,High
2024-07-31,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1074.27,1106.33,1071.51,1075.98,1859111,0.005747,1089.31,1009.09,0.361641,-0.0482,High
2024-08-01,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1099.58,1100.3,1014.6,1089.82,1857981,0.012865,1091.7,1015.69,0.360068,-0.035955,High
2024-08-02,ADANIPORTS.NS,Adani Ports & SEZ,Infrastructure,1079.34,1086.66,1039.77,1079.69,1856551,-0.009294,1092.72,1021.38,0.358338,-0.044915,High
